rule_id,title,text
Rule 22,NITRIC ACID Emission of Oxides of 3 kilogramme of oxides of nitrogen,"NITRIC ACID Emission of Oxides of 3 kilogramme of oxides of nitrogen

(EMISSION OXIDES Nitrogen per tonne of weak acid (before
OF NITROGEN) concentration) produced.
2[23. SULPHURIC ACID Emission standards
PLANT Limiting
concentration in
mg/Nm3,
unless stated
Plant capacity for
100% concentration
of Sulphuric Acid
(tonne/day)
1
Sr. No.18 relating to and entries relating thereto omitted by Rule 2(II) of the Environment
(Protection) First Amendment Rules, 2006 notified by G.S.R. 46(E), dated 3.2.2006.
2
Substituted by Rule 2(I) of the Environment (Protection) Third Amendment Rules, 2008 notified by G.S.R.
344(E), dated 7.5.2008.
424 The Environment (Protection) Rules, 1986
Sr. Industry Parameter Standards
No.
1 2 3 4
Existing Unit New Unit
Sulphur dioxide (SO ) upto300 1370 1250
2
Above 300 1250 950
Acid Mist/Sulphur Up to 300 90 70
Trioxide Above 300 70 50
Note:
(i) Scrubbing units shall have on-line pH meters with auto recording facility.
(ii) The height of the stack emitting sulphur-dioxide or acid mist shall be of minimum of
30 metre or as per the formula H=14(Q) (0.3)
expected to be
2
emitted through the stack at 110 per cent rated capacity of the plants and calculated as
per the norms of gaseous emission.
(iii) Plants having more than one stream or unit of sulphuric acid at one location, the
combined capacity of all the streams and units shall be taken into consideration for
determining the stack heightand applicability of emission standards.
(iv) Plants having separate stack for gaseous emission for the scrubbing unit, the height of
this stack shall be equal to main stack].
24. IRON & STEEL Particulate Matter
(INTEGRATED) Emission
-Sintering Plant 150 milligramme per normal cubic
metre
-Steel making
--during normal 150 milligramme per normal cubic
operations metre.
--during oxygen 400 milligramme per normal cubic
lancing metre.
-Rolling Mill 150 milligramme per normal cubic
metre.
-Carbon monoxide 3 kilogramme per tonne of coke
from coke oven produced.
The Environment (Protection) Rules, 1986 425
Sr. Industry Parameter Standards
No.
1 2 3 4"
Rule 125,THERMAL POWER Particulate Matter,"THERMAL POWER Particulate Matter

PLANTS Emissions :
-generation cpacity 150 millogramme per normal cubic
210 MW or more metre.
-generation capacity 350 milligramme per normal cubic
less than210 MW metre."
Rule 26,NATURAL RUBBER Concentrations in the effluents not to,"NATURAL RUBBER Concentrations in the effluents not to

INDUSTRY exceed milligramme per litre (except
for pH) 44oC
-Discharge into inland Colour & odour Absent
surface water
pH 6.0 9.0
BOD 50
COD 250
Oil and Grease 10
Sulphides 2
Total Kjeldahl 100
Nitrogen
Dissolved phosphate 5
(as P)
Suspended Solids 100
Dissolved solids 2100
(inorganic)
Ammonical Nitrogen 50
as N
Free ammonia (as 5
NH )
3
-Disposal on landfor Colour and Odour Absent
irrigation
pH 6.0 8.0
BOD 100
COD 250
Oil & Grease 10
Suspended Solids 200
Dissolved solids 2100
1
S. No. 25 and 26 and entries relating thereto inserted vide S.O. 8(E) dt. 3.1.89 published in the Gazette No. 7
dated. 3.1.89.
Corrections in rule 2 against S.No. 26 made vide corrigendum No. S.O. 190 (E) dt. 15.3.89 published in the
Gazette no. 126 dt. 15.3.89.
Depending upon the requirement of local situation, such as protected area, the State Pollution Control Board
and other implementation agencies under the Environment (Protection) Act, 1986 may prescribed a limit of 150
milligramme per normal cubic meter, irrespective of generation capacity of the plant.
426 The Environment (Protection) Rules, 1986
Sr. Industry Parameter Standards
No.
1 2 3 4
1[227. ASBESTOS - Pure Asbestos 0.5 fibre */cc for one year from the
MANUFACTURING material date of notification
UNITS (INCLUDING 0.2 fibre */cc after one year from the
ALL PROCESSES date of notification]
INVOLVING THE
USE OF ASBESTOS) -Total Dust 2 mg/m3(normal)
28. CALOR ALKALI EMISSIONS Concentration in mg/m3(normal)
(CAUSTIC SODA)
(a) Mercury Cell Mercury (from 0.2
hydrogen gas holder
stack)
(b) All processes Chlorine (from hypo 15.0
tower)
(c) All processes Hydro chloric acid 35.0
vapours and mist
(from hydro chloric
acid plant)
29. LARGE PULP AND EMISSIONS Concentration in mg/m3(normal)
PAPER
Particulate matter 250**
H S 10
2
30. INTEGRATED IRON I. EMISSIONS
AND STEEL
PLANTS:
(a) Coke Oven Particulate mater 50
(b) Refractory Particulate matter 150
material plant
II. EFFLUENTS Concentration in mg/l except for pH.
(a) Coke oven
By product plant. pH 6.0 8.0
Suspended Solids 100
1
Standards mentioned at Sl. No.27 amended by Rule 2(III) of the Environment (Protection) First Amendment
Rules, 2006 notified vide Notification G.S.R.46(E), dated 3.2.2006.
2 S.No. 27 to 31 and entries relating thereto inserted vide GSR 913(E) dt. 24.10.89 published in the Gazette No.
554 dt. 24.10.89.
** This standard of 250 mg/m3 (normal) shall apply only for a period of 3 years with effect from the date on which
the Environment (protection) Second Amendment Rules, 1989 came into force. After three years the standard to
be applicable is 15 mg/m3 (normal).
The Environment (Protection) Rules, 1986 427
Sr. Industry Parameter Standards
No.
1 2 3 4
Phenol 1.0
Cynide 0.2
BOD 1[(3 days at 30
27oC)]
COD 250
Ammonical Nitrogen 50
Oil and Grease 10
(b)Other plants such as
sintering plant, blast
furnace, steel melting
pH 6.0 9.0
and rolling mill:
Suspended Solids 100
Oil and Grease 10
31. RE-HEATING EMISSIONS Concentration in mg/m3(normal)
(REVERBERATORY)
FURNACES:
Capacity : All sizes
Sensitive area Particulate matter 150
Other area Particulate matter 450
2[32. FOUNDRIES EMISSIONS
(a) Cupola Capacity
(Melting Rate) :
Less than 3 mt./hr. Particulate Matter 450
3 mt/hr. and above Particulate Matter 150
Note : It is essential that stack is constructed over the cupola beyond the charging door
and emissions are directed through the stack which should be at least six times the
diameter of cupola.
(b) Arc Furnaces :
Capacity: All sizes Particulate Matter 150
1
Substituted by Rule 2 of the Environment (Protection) Amendment Rules, 1996 notified by G.S.R.176(E), dated
2.4.1996 may be read as BOD (3 days at 27oC) wherever BOD 5 days 20oC occurred
2
S.No. 32 to 47 and entries relating thereon inserted vide GSR 742(E) dt. 30.8.90 published in the Gazette No.
365 dated 30.8.90.
428 The Environment (Protection) Rules, 1986
Sr. Industry Parameter Standards
No.
1 2 3 4
(c) Induction Furnace
Capacity: All sizes Particulate Matter 150
Note: In respect of Arc Furnaces and Induction Furnaces provision has to be made for
collecting the fumes before discharging the emissions through the stack.
33. THERMAL POWER STACK HEIGHT/LIMIT IN
PLANTS METERS*
Power generation capacity :
- 500MW and above 275
- 200 MW/210 MW and 220
above to less than 500
MW
- Less than 200 MW/210 H-14(Q)0.3 where Q is
MW emission rate of SO in
2
*kg/hr. and *H Stack height
in metres.
Steam generation capacity: ½ times the neighbouring
building height or 9 metres
- Less than 2 ton/hr.
(whichever is more)
- More than 2 ton/hr. to 12
5ton/hr.
- More than 5 ton/hr. to 10 15
ton/hr.
- More than 10 ton./hr. 18
- More than 15 ton/hr. to *21
20 ton/hr.
- More than 20 ton/hr. to 24
25 ton/hr
- More than 25 ton/hr. to 27
30 ton/hr.
- More than 30 ton/hr. 30 or using formula H-
14(Q)0.3 (whichever is more)
Q is emission rate of SO in
2
kg/hr and *H-Stack height in
meters.
*
Correction have been made as per Corrigendum Notification no. S.O. 8(E) dt. 31.12.1990.
The Environment (Protection) Rules, 1986 429
Sr. Industry Parameter Standards
No.
1 2 3 4
34. SMALL BOILERS EMISSIONS*
Capacity of Boiler Particulate matter
- Less than 2 ton/hr. 1600
- 2 to 5 ton/hr 1200
More than 15 ton/hr. 150
1[235. COFFEE Instant/Dry Processing
INDUSTRY
Limiting value for
concentration in mg/l except
for pH
pH 6.5-8.5
BOD o 100
3 day, 27 C
Total DissolvedSolids 2100
Wet/Parchment Coffee Processing
pH 6.5-8.5
BOD o 1000
3 day, 27 C
Notes:
(i) Coffee growers having plantation area less than 10 ha with wet processing shall store
primary treated effluent in lined lagoons for solar evaporation with a non-permeable
system at the base and sides of lagoon.
(ii) Coffee growers having plantation area between 10-25 ha with wet processing shall
store primary (equalization and neutralization) treated effluent in lined lagoons for
solar evaporation with a non-permeablesystem at the base and sides of lagoon.
(iii)Coffee growers having plantation area 25 ha or above with wet processing shall store
secondary treated effluent in conformity with above norms in lined lagoons with a
non-permeable lining system at the base and side of lagoon and use the effluent for
irrigation after dilution so as BOD of diluted effluent for land application is less than
100 mg/l.
(iv)The minimum liner specifications for a non-permeably lining system shall be a
composite barrier having 1.5 mm High Density Polyethylene (HDPE) geomembrane
or equivalent, overlying 90 cm of soil (clay or amended soil) having permeability
coefficient not more than 1x10-5cm/sec.
(v) The effluent storage facilities/lagoons/solar evaporation ponds shall be located above
high flood level mark of the nearby stream, rivulet etc. with below mentioned free
board and away from any water body/stream at a distance.
* All emissions normalized to 12 per cent carbon dioxide.
1
Omitted entry relating to Oil Refineries (Sulphur Dioxide) by Rule 2 (i) (b) of the Environment (Protection)
Amendment Rules, 2008 notified by G.S.R. 186 (E), dated 18.3.2008.
2
Inserted by Rule 2 of the Environment (Protection) Sixth Amendment Rules, 2008 notified by G.S.R.579(E),
dated 6.8.2008
430 The Environment (Protection) Rules, 1986
Sr. Industry Parameter Standards
No.
1 2 3 4
Grower Small Medium Large
(<10ha) (10-25ha) (>25ha)
Free Based 30 60 90
(cm)
Distance (m) 50 100 150
(vi) Raw, Treated and/or diluted effluent shall be discharged
into surface water body or used for recharging groundwater
under any circumstances what so ever]."
Rule 36,ALUMINIUM EMISSIONS,"ALUMINIUM EMISSIONS

PLANTS:
(a)Aluminia Plant:
(i) Raw Material Primary and Secondary 150
Handling Crusher Particulate Matter
(ii) Precipitation
Area
- Calcination Particulate matter 250
Carbon Monoxide 1% max.
Stack Height H=14 (Q)0.3 Where Q is
emission rate of SO in kg/hr
2
and H-Stack height in meters.
(b)Smelter Plant Particulate Matter
(i)Green Anode Shop Particulate Matter 150
1[(ii)Anode Bake Oven Particulate Matter 50mg/Nm3
Total Fluoride (F) 0.3 kg/MT of Aluminium.
(iii)Potroom Particulate matter 150
Total Fluoride 2.8Kg/ton by
For Soderberg* 31stDecember 2006
Technology
For Pre-bakedTechnology 0.8 kg/t by 31stDecember
2006
1
Substituted by Rule 2(iv) (a) amended by Rule 2 (IV) (a) of the Environment (Protection) First Amendment
Rules, 2006 notified vide Notification G.S.R.46(E), dated 3.2.2006.
The Environment (Protection) Rules, 1986 431
Sr. Industry Parameter Standards
No.
1 2 3 4
* Separate standards for VSS, HSS, PBSW & PBCW as given in column 4 stands abolished
1[(c) Standards for forage
fluoride
- Twelve consecutive months -40 ppm
average
- Two consecutive months -60 ppm
average
-One month average -80 ppm]
*37. STONE CRUSHING Suspended Particulate Matter The Standards consist of two
UNIT (SPM) paras :
(i) Implementation of the
following Pollution
Control measures:
(a) Dust containment cum
suppression system for
the equipment.
(b) Construction of wind
breaking walls.
(c) Construction of the
metalled roads within
the premises.
(d) Regular cleaning and
wetting of the ground
within the premises.
(e) Growing of a green belt
along the periphery.
1
Inserted by Rule 2(IV)(b) of the Environment (Protection) First Amendment Rules, 2006 notified by
G.S.R.46(E), dated 3.2.2006.
*
Standards notified at Sl. No. 11 may also be referred.
432 The Environment (Protection) Rules, 1986
Sr. Industry Parameter Standards
No.
1 2 3 4
(ii) Quantitative standard
for SPM :
**[measured between three
meters and ten metres from
any processes equipment of a
stone crushing unit shall not
exceed 600 microgrammes
per cubic metre] from a
controlled isolated as well as
from a unit located in a
cluster should be less than
600 mg/Nm 1
3"
Rule 38,PETROCHEMICALS EFFLUENTS,"PETROCHEMICALS EFFLUENTS

(BASIC &
INTERMEDIATES)
Ph 6.5 8.5
*BOD 2[(3days at 27oC)] 50
**Phenol 5
Sulphide (as S) 2
COD
Cynide (as CN) 250
*** Fluoride (as F)
Total suspended Solids 3[100]
Hexavalent Chromium 3[(as 0.1
Cr)]
**** Total Chromium 3[(as 2.0
Cr)]
**
Corrections have been made as per CORRIGENDUM Notification No. S.O. 8(E) dated 31.12.1990.
1
deleted as per CORRIGENDUM Notification S.O 8(E) dated 31.12.90.
2
Substituted by Rule 2 of the Environment (Protection) Amendment Rules, 1996 notified by G.S.R.176(E), dated
2.4.1996 may be read as BOD (3 days at 27oC) wherever BOD 5 days 20oC occurred.
3
Corrected as per CORRIGENDUM Notification S.O. 8(E) dated 31.12.1990.
The Environment (Protection) Rules, 1986 433
Sr. Industry Parameter Standards
No.
1 2 3 4
* State Board may prescribed the BOD value of 30 mg/l if the recipient system so
demands.
** The limit for phenol shall be conformed to at the outlet of effluent treatment of
phenol plant. However, at the final disposal point, the limit shall be less than 1
mg/l.
*** The limit for fluoride shall be confirmed to at the outlet of the chrome removal
unit. However, at the disposal point fluoride concentration shall be lower than
5mg/l.
**** The limits for total and hexavalent chromium shall be conformed to at the outlet
of the chromate removal. This implies that in the final treated effluent, total and
hexavalent chromium shall be lower than prescribed herein.
1[239 HOTEL INDUSTRY
EFFLUENT STANDARDS
(i)Hotel with atleast 20 bedrooms
limiting except for
concentration pH
in mg/1,
Inland On land for
Surface Irrigation
Water
PH 5.5-9.0 5.5-9.0
BOD3 days, 27oC 30 100
Total Suspended Solids 50 100
Oil & Grease 10 10
Phosphate as P 1.0 -
(ii)Hotel with less than 20 bedrooms or a Banquet Hall with
minimum floor area of 100m2 or a Restaurant with minimum
seating capacity of 36
pH 5.5-9.0 5.5-9.0
BOD3 days, 27oC 100 100
Total Suspended Solids 100 100
Oil & Grease 10 10
1
Omitted entry relating to Pharmaceutical Manufacturing and Formulation Industry by Rule 2(a) of the
Environment (Protection) Third Amendment Rules, 2009 notified by G.S.R.512(E), dated 9.7.2009.
2
Inserted by Rule of the Environment (Protection) Sixth Amendment Rules, 2009 notified by G.S.R.794(E),
dated 4.11.2009.
434 The Environment (Protection) Rules, 1986
Sr. Industry Parameter Standards
No.
1 2 3 4
Notes:
i. Hotels, banquet halls, restaurants, etc. located in
coastal area shall also comply with the provisions of
the Coastal Regulation Zone, as applicable.
ii If, the effluent is discharged into a municipal sewer
leading to a Sewage Treatment Plant, the hotel or
restaurant or banquet hall, as the case may be, shall
provide a proper Oil and Grease Trap for effluent
arising from its kitchen and laundry and shall have to
comply with the 'General Standards for Discharge of
Environmental Pollutants Part-A: Effluents' notified
under Schedule-VI]."
Rule 40,PESTICIDE EFFLUENTS,"PESTICIDE EFFLUENTS

MANUFACTURING
AND FORMULATION
INDUSTRY."
Rule 1,Temperature Shall not exceed 5oC above,"Temperature Shall not exceed 5oC above

the receiving water
temperature
2. pH 6.5 8.5"
Rule 3,Oil and Grease 10,"Oil and Grease 10

4. BOD 1[(3days at 27oC)] 30"
Rule 5,Total Suspended Solids 100,"Total Suspended Solids 100

6. Bio-assay test 90% survival of fish after 96
hours in 100% effluent."
Rule 7,(a) Specific Pesticides :,"(a) Specific Pesticides :

Benzenl Hexachloride 10
Carbonyl 10
DDT 10
Endosulfan 10
Diamethoate 450
Fenitrothion 10
Malathion 10
1
Substituted by Rule 2 of the Environment (Protection) Amendment Rules, 1996 notified by G.S.R.176(E), dated
2.4.1996 may be read as BOD (3 days at 27oC) wherever BOD 5 days 20oC occurred.
The Environment (Protection) Rules, 1986 435
Sr. Industry Parameter Standards
No.
1 2 3 4
Phorate 10
Methyl Parathion 10
Phenathoate 10
Pyrethrums 10
Copper Oxyghloride 9600
Copper Sulphate 50
Ziram 1000
Sulphur 30
Paraquat 2300
Proponil 7300
Nitrogen 780
(b) Heavy Metals
Copper 1.00
Managanese 1.00
Zinc 1.00
Mercury 0.01
Tin 0.10
Any other metal like Nickel Shall not exceed 5 times the
etc. drinking water standards of
BIS.
(c) Organics
Phenol and Phenolic 1.0
compounds as C H OH
6 5
(d) Inorganics
Arsenics (As As) 0.2
Cyanide (as CN) 0.2
Nitrate (as NO ) 50.0
3
Phosphate (as P) 5.0
436 The Environment (Protection) Rules, 1986
Sr. Industry Parameter Standards
No.
1 2 3 4
1[EMISSIONS Not to exceed
mg/Nm3
HCl 20
Cl 5
2
H S 5
2
P O (as H PO ) 10
2 5 3 4
NH 30
3
Particulate matter with 20
pesticides compounds
CH Cl 20
3
HBr 5]
Note : 1. Limits should be complied with the end of the treatment plant before
any dilution."
Rule 2,Bio-assay test should be carried out with available species of fish in,"Bio-assay test should be carried out with available species of fish in

receiving water."
Rule 3,State Boards may prescribe limits of total dissolved solids (TDS) sulphates,"State Boards may prescribe limits of total dissolved solids (TDS) sulphates

and chlorides depending on the uses of recipient water body.
4. State Board may prescribe COD limit correlated with BOD limit.
5. Pesticides are known to have metabolites and isomers. If they are found
insignificant concentration, standards may be prescribed for those in the
list by Central or State Board."
Rule 6,Industries are required to analyse pesticides in waste water by,"Industries are required to analyse pesticides in waste water by

advanced analytical method such as GLC/HPLC."
Rule 7,"All the parameters will be compulsory for formulators, for others, the 7th","All the parameters will be compulsory for formulators, for others, the 7th

will be optional.
1
Inserted entries relating to emissions by Rule 2(V) of the Environment (Protection) First Amendment Rules,
2006 notified vide G.S.R.46(E), dated 3.2.2006.
The Environment (Protection) Rules, 1986 437
Sr. Industry Parameter Standards
No.
1 2 3 4"
Rule 41,TANNERY (AFTER EFFLUENT,"TANNERY (AFTER EFFLUENT

PRIMARY
TREATMENT)
Disposal : Channel/
conduit
Carrying waste waters to
Secondary Treatment
Plants
Type of Tanners :
- chrome tanneries/ pH 6.5 9.0
combined chrome &
Vegetable tanneries.
SS Not to exceed 600
Chromium Concentration after 45
treatment in the chrome waste
water stream
- Vegetable tanneries pH 6.5 9.0
SS Not to exceed 600
Note : The above standards will apply to those tannery units which have made full
contribution to a Common Effluent Treatment Plant (CETP) Comprising
secondary treatment. Those who have not contributed will be governed by earlier
Notification No. S.O.*61 (E), dated January 18, 1988."
Rule 42,PAINT INDUSTRY EFFLUENTS,"PAINT INDUSTRY EFFLUENTS

WASTE WATER
DISCHARGE
pH 6.0 8.5
Suspended Solids 100
BOD 1[(3 days at 27oC)] 50
5
Phenolics as C H OH 1.0
6 5
Oil and Grease 10.0
Bio-assay test 90% survival in 96 hours
Lead as Pb 0.1
*
Corrected as per Notification No. S.O. 8(E) dated 31.12.1990.
1
Substituted by Rule 2 of the Environment (Protection) Amendment Rules, 1996 notified by G.S.R.176(E), dated
2.4.1996 may be read as BOD (3 days at 27oC) wherever BOD 5 days 20oC occurred
438 The Environment (Protection) Rules, 1986
Sr. Industry Parameter Standards
No.
1 2 3 4
Chromium as Cr Hexavalent 0.1
Total 2.0
Copper as Cu 2.0
Nickle as Ni 2.0
Zinc as Zn 5.0
Total heavy metals 7.0"
Rule 43,INORGANIC EFFLUENTS,"INORGANIC EFFLUENTS

CHEMICAL
INDUSTRY (WASTE
WATER
DISCHARGE)
part I (metal compounds pH 6.0 8.5
of Chromium,
Manganese, Nickel,
Copper, Zinc, Cadmium,
Lead and Mercury)
Chromium as Cr Hexavalent 0.1
Total 2.0
Manganese as Mn 2.0
Nickel as Ni 2.0
Copper as Cu 2.0
Zinc as Zn 5.0
Cadmium as Cd 0.2
Lead as Pb 0.1
Mercury as Hg .01
Cynide as CN 0.2
Oil & Grease 10.0
Suspended Solids 30.0
In addition to the above, total
heavy metals are to be limited to
7 mg/l.
The Environment (Protection) Rules, 1986 439
Sr. Industry Parameter Standards
No.
1 2 3 4"
Rule 44,BULLION REFINING EFFLUENTS,"BULLION REFINING EFFLUENTS

(WASTE WATER
DISCHARGE)
pH 6.5 8.5
Cynide as CN 0.2
Sulphide as S 0.2
Nitrate as N 10.0
Free C1 as C1 1.0
2
Zinc as Zn 5.0
Copper as Cu 2.0
Nickel as Ni 2.0
Arsenic as As 0.1
Cadmium as Cd 0.2
Oil and Grease 10.0
Suspended Solids 100
*45. DYE & DYE EFFLUENTS
INTERMEDIATE
INDUSTRY (WASTE
WATER
DISCHARGE)
pH 6.0 8.5
Colour Hazen Unit 400.0
Suspended Solids 100.0
BOD 1[(3 days at 27oC)] 100.0
Oil and Grease 10.0
Phenolics as C H OH 1.00
6 5
Cadmium as Cd 0.2
Copper as Cu 2.0
Manganese as Mn 2.0
Lead as Pb 0.1
Mercury as Hg 0.01
Nickel as Ni 2.0
Zinc as Zn 5.0
Chromium as Cr6+ 0.1
Total Chromium 2.0
Bio-assay test 90% survival in 96 hours.
*
Standards Notified as Sl. No. 8 may also be referred.
1
Substituted by Rule2 of the Environment (Protection) Amendment Rules, 1996 notified by G.S.R.176(E), dated
2.4.1996 may be read as BOD (3 days at 27oC) wherever BOD 5 days 20oC occurred
440 The Environment (Protection) Rules, 1986
Sl.No. Category Standards
dB(A)
1 2 3"
Rule 46,NOISE LIMITS FOR AUTOMOBILES (FREE FIELD) AT ONE,"NOISE LIMITS FOR AUTOMOBILES (FREE FIELD) AT ONE

METER IN dB(A) AT THE MANUFACTURING STAGE TO BE
ACHIEVED BY THE YEAR 1992.
(a) Motorcycle, Scooters & Three wheelers 80
(b) Passenger Cars 82
(c) Passenger or Commercial Vehicles upto 4 MT 85
(d) Passenger or Commercial Vehicles above 4 MT and upto 12 MT 89
(e) Passenger or Commercial Vehicles exceeding 12 MT 91"
Rule 47,DOMESTIC APPLIANCES AND CONSTRUCTION EQUIPMENTS,"DOMESTIC APPLIANCES AND CONSTRUCTION EQUIPMENTS

AT THE MANUFACTURING STAGE TO BE ACHIEVED BY THE
YEAR, 1993
(a) Window Air Conditioner of 1 ton to 1.5 tons 68
(b) Air Coolers 60
(c) Refrigerators 46
1[(d) -]
(e) Compactors (rollers) Front loaders, Concrete mixers, Cranes 75
(movable), Vibrators and Saws.
1
-
Environment (Protection) Second Amendments Rules, 2002 published vide Notification No.G.S.R.371(E),
dated 17.5.2005
The Environment (Protection) Rules, 1986 441
Sr. Industry Parameter Standards
No.
1 2 3 4"
Rule 148,GLASS INDUSTRY EMISSIONS,"GLASS INDUSTRY EMISSIONS

A.Sodalime & Borosilicate
and other special Glass
(other than Lead)
(a)Furnace : Capacity
(i) Upto a product draw Particulate Matter 2.0 kg/hr.
capacity of 60 MT/Day
(ii) Product draw capacity Particulate Matter 0.8 kg/MT of product
more than 6 MT/Day drawn
(iii) For all capacities Stack height H=14(Q)0.3 where Q
is the emission rate of
SO in Kg/hr. & H is
2
Stack height in
meters.
Total Fluorides 5.0 mg/NM3
Nox Use of low Nox
burners in new plants
(b) Implementation of the following measures for fugitive emission control from other
sections :
(i) Raw materials should be transported in leak proof containers.
(ii) Cullet preparationshould be dustfree using water spraying.
(iii)Batch preparation section should be covered.
B. Lead Glass
(a) Furnaces :
All capacities Particulate Matter 50 mg/NM3
Lead 20 mg/NM3
(b) Implementation of the following measures for fugitive emission control from other
sections:
(i) Batch mixing, proportioning section and transfer points should be covered and it
should be connected to control equipments to meet the following standards :
Particulate matter 50 mg/NM3
Lead 20 mg/NM3
(ii)Minimum Stack height should be 30 metres in lead glass units.
(c) Pot furnace at Firozabad Particulate matter 1200 mg/NM3
Furnace :
Note : Depending upon local environmental conditions, State/Central Pollution Control Board can
prescribe more stringent standards than those prescribed above.
1
S.No. 48 to 55 and entries relating thereto inserted vide GSR 93(E) dt. 21.2.91 published in the Gazette No. 79
dated 27.2.91.
442 The Environment (Protection) Rules, 1986
Sr. Industry Parameter Standards
No.
1 2 3 4
Glass Industries (for all EFFLUENTS:
categories)
pH 6.5 8.5
Total Suspended Solids 100 mg/l
Oil & Grease 10 mg/l"
Rule 49,LIME KILN Stack Height,"LIME KILN Stack Height

Capacity :
Upto 5 T/day Stack Height A hood should be provided
with a stack of 30 meter
height from ground level
(including kiln height).
Above 5T/day Stack height H=14(Q)0.3 where Q is
emission rate of SO in
2
kg/hr and H=Stack Height
in meters.
More than 5T/day and up to 40 Particulate matter 500 mg/Nm3
T/Day
Above 40T/day Particulate matter 150 mg/Nm3
50. SLAUGHTER HOUSE, EFFLUENTS Concentration in mg/l
MEAT & SEA FOOD
INDUSTRY
Category
A.Slaughter House
(a) Above 70 TLWK/day BOD 1[3 days at 27oC] 100
Suspended Solids 100
Oil and Grease 10
(b) 70 TLWK/day below BOD 1[3 days at 27oC] 500
B.Meat Processing
(a) Frozen Meat BOD 1[3 days at 27oC] 30
Suspended Solids 50
Oil & Grease 10
(b) Raw Meat from own BOD 1[3 days at 27oC] 30
Slaughter House.
Suspended Solids 50
Oil & Grease 10
(c) Raw Meat from other Disposal via Screen and
sources Septic Tank.
C.Sea Food Industry BOD 1[3 days at 27oC] 30
Suspended Solids 50
Oil and Grease 10
The emission standards from Boiler House shall conform to the standards already prescribed under E(P) Act,
1986 vide notification No.G.S.R.742(E), dated 30.8.90.
1
Substituted by Rule 2 of the Environment (Protection) Amendment Rules, 1996 notified by G.S.R.176(E), dated
2.4.1996 may be read as BOD (3 days at 27oC) wherever BOD 5 days 20oC occurred.
The Environment (Protection) Rules, 1986 443
Sr. Industry Parameter Standards
No.
1 2 3 4
Note : (i) TLWK Tonnes of Live Weight Killed (ii) In case of disposal into municipal sewer
where sewage is treated the industries shall install screen and oil & grease separation units.
(iii) The industries having slaughter house along with meat processing units will be
considered in meat processing category as far as standards are concerned."
